"hydroid"	"bundle"	"ftype"	"hydrocode"	"name"	"fstatus"	"address1"	"address2"	"city"	"state"	"postal_code"	"description"	"uid"	"status"	"module"	"feed_nid"	"dh_link_facility_mps"	"dh_nextdown_id"	"dh_areasqkm"	"dh_link_admin_location"	"field_dh_from_entity"	"field_dh_to_entity"	"dh_geofield"	"geom"
"444786"	"transfer"	"outfall"	"echo_VA0090212001"	"FROM VA0090212"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441947"	""	""	""	""	""	"POINT (-77.880278 38.471389)"	"POINT (-77.880278 38.471389)"
"444787"	"transfer"	"outfall"	"echo_VA0090221001"	"FROM VA0090221"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441948"	""	""	""	""	""	"POINT (-77.194722222168 38.658611110967)"	"POINT (-77.194722222168 38.658611110967)"
"444788"	"transfer"	"outfall"	"echo_VA0090239001"	"FROM VA0090239"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441949"	""	""	""	""	""	"POINT (-82.071388888818 37.173333333362)"	"POINT (-82.071388888818 37.173333333362)"
"444789"	"transfer"	"outfall"	"echo_VA0090247001"	"FROM VA0090247"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441950"	""	""	""	""	""	"POINT (-78.220833333404 38.984444444489)"	"POINT (-78.220833333404 38.984444444489)"
"444790"	"transfer"	"outfall"	"echo_VA0090263003"	"FROM VA0090263"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441951"	""	""	""	""	""	"POINT (-78.751666667071 38.635555555535)"	"POINT (-78.751666667071 38.635555555535)"
"444791"	"transfer"	"outfall"	"echo_VA0090271002"	"FROM VA0090271"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441952"	""	""	""	""	""	"POINT (-78.629758 38.759996)"	"POINT (-78.629758 38.759996)"
"444792"	"transfer"	"outfall"	"echo_VA0090280001"	"FROM VA0090280"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441953"	""	""	""	""	""	"POINT (-79.922484 36.642363)"	"POINT (-79.922484 36.642363)"
"444793"	"transfer"	"outfall"	"echo_VA0090310002"	"FROM VA0090310"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441956"	""	""	""	""	""	"POINT (-80.02694444447 36.781388889143)"	"POINT (-80.02694444447 36.781388889143)"
"444794"	"transfer"	"outfall"	"echo_VA0090328001"	"FROM VA0090328"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441957"	""	""	""	""	""	"POINT (-78.533611110699 38.82638888914)"	"POINT (-78.533611110699 38.82638888914)"
"444795"	"transfer"	"outfall"	"echo_VA0090344001"	"FROM VA0090344"	"active"	""	""	""	""	""	""	"6115"	"1"	""	""	"441958"	""	""	""	""	""	"POINT (-77.45722222187 37.287777777954)"	"POINT (-77.45722222187 37.287777777954)"
