"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0006254001"	"dmr_mon_mgd"	0	"10/01/2017"	"10/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"11/01/2017"	"11/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"12/01/2017"	"12/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"01/01/2018"	"01/31/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"02/01/2018"	"02/28/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"03/01/2018"	"03/31/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"04/01/2018"	"04/30/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.79	"01/01/2011"	"01/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.82	"02/01/2011"	"02/28/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.06	"03/01/2011"	"03/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	48.47	"04/01/2011"	"04/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	59.71	"05/01/2011"	"05/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.65	"06/01/2011"	"06/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70	"07/01/2011"	"07/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.21	"08/01/2011"	"08/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	65.69	"09/01/2011"	"09/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.32	"10/01/2011"	"10/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.14	"11/01/2011"	"11/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	56.48	"12/01/2011"	"12/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.18	"01/01/2012"	"01/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.18	"02/01/2012"	"02/29/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.21	"03/01/2012"	"03/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	62.64	"04/01/2012"	"04/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.8	"05/01/2012"	"05/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.29	"06/01/2012"	"06/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.27	"07/01/2012"	"07/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.14	"08/01/2012"	"08/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.14	"09/01/2012"	"09/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.24	"10/01/2012"	"10/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.43	"11/01/2012"	"11/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	35.76	"12/01/2012"	"12/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.28	"01/01/2013"	"01/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.46	"02/01/2013"	"02/28/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.21	"03/01/2013"	"03/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.86	"04/01/2013"	"04/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.73	"05/01/2013"	"05/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.1	"06/01/2013"	"06/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	72.91	"07/01/2013"	"07/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	72.01	"08/01/2013"	"08/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.61	"09/01/2013"	"09/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	68.69	"10/01/2013"	"10/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.09	"11/01/2013"	"11/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.62	"12/01/2013"	"12/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.43	"01/01/2014"	"01/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.76	"02/01/2014"	"02/28/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.11	"03/01/2014"	"03/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.96	"04/01/2014"	"04/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.8	"05/01/2014"	"05/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	64.72	"06/01/2014"	"06/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.31	"07/01/2014"	"07/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.08	"08/01/2014"	"08/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.59	"09/01/2014"	"09/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.2	"10/01/2014"	"10/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.26	"11/01/2014"	"11/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	51.96	"12/01/2014"	"12/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.77	"01/01/2015"	"01/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.2	"02/01/2015"	"02/28/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	37.05	"03/01/2015"	"03/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.44	"04/01/2015"	"04/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	63.27	"05/01/2015"	"05/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.31	"06/01/2015"	"06/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.36	"07/01/2015"	"07/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.42	"08/01/2015"	"08/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	56	"09/01/2015"	"09/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.88	"10/01/2015"	"10/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.09	"11/01/2015"	"11/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.69	"12/01/2015"	"12/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	42.33	"01/01/2016"	"01/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	43.22	"02/01/2016"	"02/29/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	42.8	"03/01/2016"	"03/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.07	"04/01/2016"	"04/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	48.65	"05/01/2016"	"05/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.21	"06/01/2016"	"06/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.92	"07/01/2016"	"07/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.48	"08/01/2016"	"08/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.16	"09/01/2016"	"09/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	44.88	"10/01/2016"	"10/31/2016"	1
