"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"dh_link_facility_mps"	"dh_geofield"
"transfer"	"TO VA0004146402"	"release"	"vahydro_VA0004146402"	"active"	"echo_VA0004146"	"POINT (-77.3779 37.3821)"
"transfer"	"TO VA0004162001"	"release"	"vahydro_VA0004162001"	"active"	"echo_VA0004162"	"POINT (-76.912272 36.678218)"
"transfer"	"TO VA0004162103"	"release"	"vahydro_VA0004162103"	"active"	"echo_VA0004162"	"POINT (-76.912272 36.678218)"
"transfer"	"TO VA0004642001"	"release"	"vahydro_VA0004642001"	"active"	"echo_VA0004642"	"POINT (-77.264354 37.302012)"
"transfer"	"TO VA0004642002"	"release"	"vahydro_VA0004642002"	"active"	"echo_VA0004642"	"POINT (-77.264354 37.302012)"
"transfer"	"TO VA0004669001"	"release"	"vahydro_VA0004669001"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669002"	"release"	"vahydro_VA0004669002"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669003"	"release"	"vahydro_VA0004669003"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669004"	"release"	"vahydro_VA0004669004"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669005"	"release"	"vahydro_VA0004669005"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669006"	"release"	"vahydro_VA0004669006"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669007"	"release"	"vahydro_VA0004669007"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669008"	"release"	"vahydro_VA0004669008"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669009"	"release"	"vahydro_VA0004669009"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669101"	"release"	"vahydro_VA0004669101"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669102"	"release"	"vahydro_VA0004669102"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669103"	"release"	"vahydro_VA0004669103"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004669750"	"release"	"vahydro_VA0004669750"	"active"	"echo_VA0004669"	"POINT (-77.43415 37.45093)"
"transfer"	"TO VA0004677001"	"release"	"vahydro_VA0004677001"	"active"	"echo_VA0004677"	"POINT (-79.446543 37.636098)"
"transfer"	"TO VA0004677007"	"release"	"vahydro_VA0004677007"	"active"	"echo_VA0004677"	"POINT (-79.446543 37.636098)"
"transfer"	"TO VA0004677101"	"release"	"vahydro_VA0004677101"	"active"	"echo_VA0004677"	"POINT (-79.446543 37.636098)"
"transfer"	"TO VA0004677104"	"release"	"vahydro_VA0004677104"	"active"	"echo_VA0004677"	"POINT (-79.446543 37.636098)"
"transfer"	"TO VA0004774004"	"release"	"vahydro_VA0004774004"	"active"	"echo_VA0004774"	"POINT (-79.05001 37.41053)"
"transfer"	"TO VA0004791001"	"release"	"vahydro_VA0004791001"	"active"	"echo_VA0004791"	"POINT (-79.35858 37.74116)"
"transfer"	"TO VA0004804021"	"release"	"vahydro_VA0004804021"	"active"	"echo_VA0004804"	"POINT (-76.432803 36.990641)"
"transfer"	"TO VA0004804022"	"release"	"vahydro_VA0004804022"	"active"	"echo_VA0004804"	"POINT (-76.432803 36.990641)"
