"bundle"	"name"	"ftype"	"hydrocode"	"fstatus"	"field_dh_from_entity"	"field_dh_to_entity"
"conveyance"	"VA0001589 TO VA0001589007"	"water_transfer"	"vahydro_VA0001589_VA0001589007"	"inactive"	"vahydro_VA0001589007"	"echo_VA0001589007"
"conveyance"	"VA0001597 TO VA0001597002"	"water_transfer"	"vahydro_VA0001597_VA0001597002"	"active"	"vahydro_VA0001597002"	"echo_VA0001597002"
"conveyance"	"VA0001597 TO VA0001597004"	"water_transfer"	"vahydro_VA0001597_VA0001597004"	"inactive"	"vahydro_VA0001597004"	"echo_VA0001597004"
"conveyance"	"VA0001597 TO VA0001597005"	"water_transfer"	"vahydro_VA0001597_VA0001597005"	"inactive"	"vahydro_VA0001597005"	"echo_VA0001597005"
"conveyance"	"VA0001597 TO VA0001597902"	"water_transfer"	"vahydro_VA0001597_VA0001597902"	"inactive"	"vahydro_VA0001597902"	"echo_VA0001597902"
"conveyance"	"VA0001767 TO VA0001767001"	"water_transfer"	"vahydro_VA0001767_VA0001767001"	"active"	"vahydro_VA0001767001"	"echo_VA0001767001"
"conveyance"	"VA0001767 TO VA0001767002"	"water_transfer"	"vahydro_VA0001767_VA0001767002"	"inactive"	"vahydro_VA0001767002"	"echo_VA0001767002"
"conveyance"	"VA0001767 TO VA0001767101"	"water_transfer"	"vahydro_VA0001767_VA0001767101"	"active"	"vahydro_VA0001767101"	"echo_VA0001767101"
"conveyance"	"VA0001872 TO VA0001872001"	"water_transfer"	"vahydro_VA0001872_VA0001872001"	"active"	"vahydro_VA0001872001"	"echo_VA0001872001"
"conveyance"	"VA0001872 TO VA0001872101"	"water_transfer"	"vahydro_VA0001872_VA0001872101"	"active"	"vahydro_VA0001872101"	"echo_VA0001872101"
"conveyance"	"VA0001872 TO VA0001872102"	"water_transfer"	"vahydro_VA0001872_VA0001872102"	"active"	"vahydro_VA0001872102"	"echo_VA0001872102"
"conveyance"	"VA0001945 TO VA0001945001"	"water_transfer"	"vahydro_VA0001945_VA0001945001"	"active"	"vahydro_VA0001945001"	"echo_VA0001945001"
"conveyance"	"VA0001945 TO VA0001945901"	"water_transfer"	"vahydro_VA0001945_VA0001945901"	"active"	"vahydro_VA0001945901"	"echo_VA0001945901"
"conveyance"	"VA0001961 TO VA0001961001"	"water_transfer"	"vahydro_VA0001961_VA0001961001"	"active"	"vahydro_VA0001961001"	"echo_VA0001961001"
"conveyance"	"VA0001988 TO VA0001988001"	"water_transfer"	"vahydro_VA0001988_VA0001988001"	"active"	"vahydro_VA0001988001"	"echo_VA0001988001"
"conveyance"	"VA0002071 TO VA0002071001"	"water_transfer"	"vahydro_VA0002071_VA0002071001"	"active"	"vahydro_VA0002071001"	"echo_VA0002071001"
"conveyance"	"VA0002071 TO VA0002071002"	"water_transfer"	"vahydro_VA0002071_VA0002071002"	"inactive"	"vahydro_VA0002071002"	"echo_VA0002071002"
"conveyance"	"VA0002071 TO VA0002071003"	"water_transfer"	"vahydro_VA0002071_VA0002071003"	"active"	"vahydro_VA0002071003"	"echo_VA0002071003"
"conveyance"	"VA0002071 TO VA0002071004"	"water_transfer"	"vahydro_VA0002071_VA0002071004"	"active"	"vahydro_VA0002071004"	"echo_VA0002071004"
"conveyance"	"VA0002071 TO VA0002071005"	"water_transfer"	"vahydro_VA0002071_VA0002071005"	"active"	"vahydro_VA0002071005"	"echo_VA0002071005"
"conveyance"	"VA0002071 TO VA0002071007"	"water_transfer"	"vahydro_VA0002071_VA0002071007"	"active"	"vahydro_VA0002071007"	"echo_VA0002071007"
"conveyance"	"VA0002071 TO VA0002071008"	"water_transfer"	"vahydro_VA0002071_VA0002071008"	"active"	"vahydro_VA0002071008"	"echo_VA0002071008"
"conveyance"	"VA0002071 TO VA0002071009"	"water_transfer"	"vahydro_VA0002071_VA0002071009"	"active"	"vahydro_VA0002071009"	"echo_VA0002071009"
"conveyance"	"VA0002071 TO VA0002071010"	"water_transfer"	"vahydro_VA0002071_VA0002071010"	"inactive"	"vahydro_VA0002071010"	"echo_VA0002071010"
"conveyance"	"VA0002071 TO VA0002071201"	"water_transfer"	"vahydro_VA0002071_VA0002071201"	"active"	"vahydro_VA0002071201"	"echo_VA0002071201"
"conveyance"	"VA0002071 TO VA0002071202"	"water_transfer"	"vahydro_VA0002071_VA0002071202"	"active"	"vahydro_VA0002071202"	"echo_VA0002071202"
"conveyance"	"VA0002071 TO VA0002071501"	"water_transfer"	"vahydro_VA0002071_VA0002071501"	"active"	"vahydro_VA0002071501"	"echo_VA0002071501"
"conveyance"	"VA0002071 TO VA0002071502"	"water_transfer"	"vahydro_VA0002071_VA0002071502"	"active"	"vahydro_VA0002071502"	"echo_VA0002071502"
"conveyance"	"VA0002071 TO VA0002071503"	"water_transfer"	"vahydro_VA0002071_VA0002071503"	"active"	"vahydro_VA0002071503"	"echo_VA0002071503"
"conveyance"	"VA0002151 TO VA0002151003"	"water_transfer"	"vahydro_VA0002151_VA0002151003"	"active"	"vahydro_VA0002151003"	"echo_VA0002151003"
"conveyance"	"VA0002151 TO VA0002151009"	"water_transfer"	"vahydro_VA0002151_VA0002151009"	"active"	"vahydro_VA0002151009"	"echo_VA0002151009"
"conveyance"	"VA0002151 TO VA0002151016"	"water_transfer"	"vahydro_VA0002151_VA0002151016"	"active"	"vahydro_VA0002151016"	"echo_VA0002151016"
"conveyance"	"VA0002151 TO VA0002151035"	"water_transfer"	"vahydro_VA0002151_VA0002151035"	"active"	"vahydro_VA0002151035"	"echo_VA0002151035"
"conveyance"	"VA0002151 TO VA0002151072"	"water_transfer"	"vahydro_VA0002151_VA0002151072"	"active"	"vahydro_VA0002151072"	"echo_VA0002151072"
"conveyance"	"VA0002151 TO VA0002151073"	"water_transfer"	"vahydro_VA0002151_VA0002151073"	"active"	"vahydro_VA0002151073"	"echo_VA0002151073"
"conveyance"	"VA0002151 TO VA0002151074"	"water_transfer"	"vahydro_VA0002151_VA0002151074"	"active"	"vahydro_VA0002151074"	"echo_VA0002151074"
"conveyance"	"VA0002151 TO VA0002151086"	"water_transfer"	"vahydro_VA0002151_VA0002151086"	"active"	"vahydro_VA0002151086"	"echo_VA0002151086"
"conveyance"	"VA0002151 TO VA0002151090"	"water_transfer"	"vahydro_VA0002151_VA0002151090"	"active"	"vahydro_VA0002151090"	"echo_VA0002151090"
"conveyance"	"VA0002151 TO VA0002151091"	"water_transfer"	"vahydro_VA0002151_VA0002151091"	"active"	"vahydro_VA0002151091"	"echo_VA0002151091"
"conveyance"	"VA0002160 TO VA0002160001"	"water_transfer"	"vahydro_VA0002160_VA0002160001"	"active"	"vahydro_VA0002160001"	"echo_VA0002160001"
"conveyance"	"VA0002160 TO VA0002160003"	"water_transfer"	"vahydro_VA0002160_VA0002160003"	"active"	"vahydro_VA0002160003"	"echo_VA0002160003"
"conveyance"	"VA0002160 TO VA0002160011"	"water_transfer"	"vahydro_VA0002160_VA0002160011"	"active"	"vahydro_VA0002160011"	"echo_VA0002160011"
"conveyance"	"VA0002160 TO VA0002160013"	"water_transfer"	"vahydro_VA0002160_VA0002160013"	"active"	"vahydro_VA0002160013"	"echo_VA0002160013"
"conveyance"	"VA0000370 TO VA0000370002"	"water_transfer"	"vahydro_VA0000370_VA0000370002"	"active"	"vahydro_VA0000370002"	"echo_VA0000370002"
"conveyance"	"VA0000370 TO VA0000370003"	"water_transfer"	"vahydro_VA0000370_VA0000370003"	"active"	"vahydro_VA0000370003"	"echo_VA0000370003"
"conveyance"	"VA0000370 TO VA0000370004"	"water_transfer"	"vahydro_VA0000370_VA0000370004"	"active"	"vahydro_VA0000370004"	"echo_VA0000370004"
"conveyance"	"VA0000370 TO VA0000370005"	"water_transfer"	"vahydro_VA0000370_VA0000370005"	"active"	"vahydro_VA0000370005"	"echo_VA0000370005"
"conveyance"	"VA0000370 TO VA0000370006"	"water_transfer"	"vahydro_VA0000370_VA0000370006"	"active"	"vahydro_VA0000370006"	"echo_VA0000370006"
"conveyance"	"VA0000370 TO VA0000370007"	"water_transfer"	"vahydro_VA0000370_VA0000370007"	"active"	"vahydro_VA0000370007"	"echo_VA0000370007"
"conveyance"	"VA0000370 TO VA0000370008"	"water_transfer"	"vahydro_VA0000370_VA0000370008"	"inactive"	"vahydro_VA0000370008"	"echo_VA0000370008"
"conveyance"	"VA0000370 TO VA0000370009"	"water_transfer"	"vahydro_VA0000370_VA0000370009"	"inactive"	"vahydro_VA0000370009"	"echo_VA0000370009"
"conveyance"	"VA0000370 TO VA0000370502"	"water_transfer"	"vahydro_VA0000370_VA0000370502"	"inactive"	"vahydro_VA0000370502"	"echo_VA0000370502"
"conveyance"	"VA0000370 TO VA0000370901"	"water_transfer"	"vahydro_VA0000370_VA0000370901"	"active"	"vahydro_VA0000370901"	"echo_VA0000370901"
"conveyance"	"VA0000370 TO VA0000370907"	"water_transfer"	"vahydro_VA0000370_VA0000370907"	"active"	"vahydro_VA0000370907"	"echo_VA0000370907"
"conveyance"	"VA0000370 TO VA0000370999"	"water_transfer"	"vahydro_VA0000370_VA0000370999"	"inactive"	"vahydro_VA0000370999"	"echo_VA0000370999"
"conveyance"	"VA0000523 TO VA0000523001"	"water_transfer"	"vahydro_VA0000523_VA0000523001"	"active"	"vahydro_VA0000523001"	"echo_VA0000523001"
