"HydroID","Permit","Facility","Well Name","Date","Value","Parameter","Units","Variable Key","Well Type","Facility Use Type","Well Depth (ft)","Latitude","Longitude","Permit ID","Locality","DEQ Well Number"
"1810","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-2","10/26/2016","1,981","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.777333333333","-76.460472222222","GW0043901","","234-00256"
"1101","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-1","10/26/2016","2,361","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","720.00","36.787083333333","-76.443972222222","GW0043901","","234-00210"
"1773","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-4","10/26/2016","672","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","","36.790166666667","-76.446222222222","GW0043901","","234-00258"
"1772","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-3","10/26/2016","571","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","880.00","36.783944444444","-76.459194444444","GW0043901","","234-00257"
"1102","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","MW-5","10/26/2016","2,323","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","725.00","36.785444444444","-76.450333333333","GW0043901","","234-00209"
"1750","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-2","10/14/2016","4,811","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1251.00","36.598144444444","-76.208575000000","GW0043901","","234-00221"
"1808","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-1","10/14/2016","6,047","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1320.00","36.593097222222","-76.210425000000","GW0043901","","234-00220"
"1798","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-3","10/14/2016","6,722","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1289.00","36.584950000000","-76.203566666667","GW0043901","","234-00222"
"1749","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-OW-5","10/14/2016","5,731","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","monitoring","municipal","1294.00","36.591333333333","-76.188611111111","GW0043901","","234-00226"
"1748","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-4","10/14/2016","8,009","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1299.00","36.579208333333","-76.201580555556","GW0043901","","234-00223"
"1748","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-4","08/08/2016","7,766","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1299.00","36.579208333333","-76.201580555556","GW0043901","","234-00223"
"1750","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-2","08/08/2016","4,815","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1251.00","36.598144444444","-76.208575000000","GW0043901","","234-00221"
"1808","City of Chesapeake Northwest River Water Supply System","Northwest River/Western Branch Systems","NWR-1","08/08/2016","5,823","Total Dissolved Solids (mgl)","mgl","totaldissolvedsolids_mgl","production","municipal","1320.00","36.593097222222","-76.210425000000","GW0043901","","234-00220"
