"MP_hydroid","Hydrocode","Source Type","MP Name","Facility_hydroid","Facility","Use Type","Year","Water Use MGY","Water Use (MGD)","Latitude","Longitude","FIPS Code","Locality"
"225481","vwuds_tfr-0674-0428-TW-DL","Transfer","FROM PORTSMOUTH (CITY)","66913","Suffolk City of Water Supply System","municipal","2000","859.29","2.35","36.730555555556","-76.591111111111","51800",""
"225087","vwuds_tfr-0301-0467-TW-DL","Transfer","FROM ORANGE (TOWN)","72811","ORANGE SERVICE AREA","municipal","2016","101.065","0.28","38.194444444444","-77.136666666667","51137",""
"225593","vwuds_tfr-0738-0736-TW-SD","Transfer","FROM NEW WTP 2 TO SERV AR","73333","SALEM SERVICE AREA","municipal","1998","0","0.00","37.293055555556","-80.061944444445","51775",""
"224787","vwuds_tfr-0013-0401-TW-DL","Transfer","FROM US GOV'T-FT PICKETT","73709","BLACKSTONE SERVICE AREA","municipal","1987","165.774","0.45","37.079166666667","-77.998611111111","51135",""
"225399","vwuds_tfr-0606-0608-TW-DL","Transfer","FROM PULASKI (TOWN)","72443","Pulaski Plant","manufacturing","1989","206.238","0.57","37.047222222222","-80.791666666667","51155",""
"224929","vwuds_tfr-0194-1841-TW-DL","Transfer","FROM SALTVILLE (TOWN)","71726","LOWER POORE VALLEY SERVICE AREA","municipal","2003","10.86","0.03","36.891111111111","-81.810555555556","51191",""
"224929","vwuds_tfr-0194-1841-TW-DL","Transfer","FROM SALTVILLE (TOWN)","71726","LOWER POORE VALLEY SERVICE AREA","municipal","2005","9.44","0.03","36.891111111111","-81.810555555556","51191",""
"225609","vwuds_tfr-0751-0752-TW-SD","Transfer","FROM WTP TO SERVICE AREA","71739","MARROWBONE/220-S SERVICE AREA","municipal","1997","8.329","0.02","36.601698961378","-79.865295357174","51089",""
"225615","vwuds_tfr-0752-1126-TW-DL","Transfer","FROM HENRY CO PSA-SA 9","71607","MARTINSVILLE","manufacturing","1988","0","0.00","36.651944444444","-79.865277777778","51089",""
"224777","vwuds_tfr-0005-0357-TW-SD","Transfer","TO SERVICE AREA FROM WTP","72469","SOUTH BOSTON SERVICE AREA","municipal","1996","0","0.00","36.698611111111","-78.909722222222","51083",""
"224943","vwuds_tfr-0202-0809-TW-DL","Transfer","FROM WISE (TOWN)","74407","STEPHENS SERVICE AREA","municipal","1985","0","0.00","36.608888888889","-81.602777777778","51195",""
"225115","vwuds_tfr-0334-1362-TW-DL","Transfer","FROM HENRICO","73695","GOOCHLAND CT HSE SERVICE AREA","municipal","2006","82.943","0.23","37.682500000000","-77.885000000000","51075",""
"224787","vwuds_tfr-0013-0401-TW-DL","Transfer","FROM US GOV'T-FT PICKETT","73709","BLACKSTONE SERVICE AREA","municipal","1997","0","0.00","37.079166666667","-77.998611111111","51135",""
"224831","vwuds_tfr-0091-0264-TW-DL","Transfer","FROM LURAY (TOWN)","71993","LURAY PLANT","manufacturing","1985","0","0.00","38.668333333333","-78.460555555556","51139",""
"225265","vwuds_tfr-0478-0277-TW-SD","Transfer","FROM WTP TO SERVICE AREA","72915","FAIRFAX (CITY) SERVICE AREA","municipal","1989","4158.206","11.39","38.841111111111","-77.308333333333","51600",""
"225523","vwuds_tfr-0714-0217-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73513","BRIDGEWATER SERVICE AREA","municipal","2015","246.56","0.68","38.381388888889","-78.976944444444","51165",""
"225417","vwuds_tfr-0621-0622-TW-SD","Transfer","FROM WTP TO SERVICE AREA","73335","CLIFTON FORGE SERVICE AREA","municipal","2002","0","0.00","37.816666666667","-79.823611111111","51005",""
"224789","vwuds_tfr-0017-0407-TW-DL","Transfer","FROM LAWRENCEVILLE (TOWN)","71798","ALBERTA SERVICE AREA","municipal","1984","0","0.00","36.866388888889","-77.875000000000","51025",""
