"hydrocode"	"varkey"	"entity_type"	"propname"	"propcode"	"startdate"	"enddate"	"proptext"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"11/01/2015"	"11/30/2015"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"06/01/2016"	"06/30/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"11/01/2016"	"11/30/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"03/01/2016"	"03/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"04/01/2018"	"04/30/2018"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"01/01/2018"	"01/31/2018"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"10/01/2017"	"10/31/2017"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"08/01/2016"	"08/31/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027561001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D80"	"09/01/2016"	"09/30/2016"	"DMR Overdue, monitoring only required"
"echo_VA0027685001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"11/01/2015"	"11/30/2015"	"Effluent Violation"
"echo_VA0027855001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0027855001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"11/01/2015"	"11/30/2015"	"Effluent Violation"
"echo_VA0027855001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"10/01/2015"	"10/31/2015"	"Effluent Violation"
"echo_VA0027952001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"04/01/2016"	"04/30/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0027952001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"08/01/2016"	"08/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0027952001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"D90"	"05/01/2016"	"05/31/2016"	"DMR Overdue, with a numeric limit"
"echo_VA0028233001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"12/01/2015"	"12/31/2015"	"Effluent Violation"
"echo_VA0028233001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"02/01/2016"	"02/29/2016"	"Effluent Violation"
"echo_VA0028233001"	"echo_flag"	"dh_timeseries"	"echo_flag"	"E90"	"06/01/2016"	"06/30/2016"	"Effluent Violation"
