"hydocode","bundle","ftype","name","from_node","to_node"
"VA0003867:VA0003867002","coneyance","water_transfer","From VA0003867 to VA0003867002","VA0003867:VA0003867002","VA0003867002"
"VA0003867:VA0003867995","coneyance","water_transfer","From VA0003867 to VA0003867995","VA0003867:VA0003867995","VA0003867995"
"VA0004049:VA0004049001","coneyance","water_transfer","From VA0004049 to VA0004049001","VA0004049:VA0004049001","VA0004049001"
"VA0004081:VA0004081001","coneyance","water_transfer","From VA0004081 to VA0004081001","VA0004081:VA0004081001","VA0004081001"
"VA0004081:VA0004081002","coneyance","water_transfer","From VA0004081 to VA0004081002","VA0004081:VA0004081002","VA0004081002"
"VA0004081:VA0004081003","coneyance","water_transfer","From VA0004081 to VA0004081003","VA0004081:VA0004081003","VA0004081003"
"VA0004081:VA0004081031","coneyance","water_transfer","From VA0004081 to VA0004081031","VA0004081:VA0004081031","VA0004081031"
"VA0004081:VA0004081101","coneyance","water_transfer","From VA0004081 to VA0004081101","VA0004081:VA0004081101","VA0004081101"
"VA0004081:VA0004081201","coneyance","water_transfer","From VA0004081 to VA0004081201","VA0004081:VA0004081201","VA0004081201"
"VA0004081:VA0004081206","coneyance","water_transfer","From VA0004081 to VA0004081206","VA0004081:VA0004081206","VA0004081206"
"VA0004090:VA0004090001","coneyance","water_transfer","From VA0004090 to VA0004090001","VA0004090:VA0004090001","VA0004090001"
"VA0004090:VA0004090002","coneyance","water_transfer","From VA0004090 to VA0004090002","VA0004090:VA0004090002","VA0004090002"
"VA0004090:VA0004090050","coneyance","water_transfer","From VA0004090 to VA0004090050","VA0004090:VA0004090050","VA0004090050"
"VA0004090:VA0004090051","coneyance","water_transfer","From VA0004090 to VA0004090051","VA0004090:VA0004090051","VA0004090051"
"VA0004090:VA0004090052","coneyance","water_transfer","From VA0004090 to VA0004090052","VA0004090:VA0004090052","VA0004090052"
"VA0004090:VA0004090053","coneyance","water_transfer","From VA0004090 to VA0004090053","VA0004090:VA0004090053","VA0004090053"
"VA0004090:VA0004090101","coneyance","water_transfer","From VA0004090 to VA0004090101","VA0004090:VA0004090101","VA0004090101"
"VA0004090:VA0004090102","coneyance","water_transfer","From VA0004090 to VA0004090102","VA0004090:VA0004090102","VA0004090102"
"VA0004090:VA0004090103","coneyance","water_transfer","From VA0004090 to VA0004090103","VA0004090:VA0004090103","VA0004090103"
"VA0004090:VA0004090104","coneyance","water_transfer","From VA0004090 to VA0004090104","VA0004090:VA0004090104","VA0004090104"
"VA0004090:VA0004090105","coneyance","water_transfer","From VA0004090 to VA0004090105","VA0004090:VA0004090105","VA0004090105"
"VA0004090:VA0004090106","coneyance","water_transfer","From VA0004090 to VA0004090106","VA0004090:VA0004090106","VA0004090106"
"VA0004090:VA0004090107","coneyance","water_transfer","From VA0004090 to VA0004090107","VA0004090:VA0004090107","VA0004090107"
"VA0004090:VA0004090108","coneyance","water_transfer","From VA0004090 to VA0004090108","VA0004090:VA0004090108","VA0004090108"
"VA0004090:VA0004090109","coneyance","water_transfer","From VA0004090 to VA0004090109","VA0004090:VA0004090109","VA0004090109"
