"hydrocode"	"varkey"	"tsvalue"	"tstime"	"tsendtime"	"tscode"
"echo_VA0063606001"	"dmr_mon_mgd"	0.015	"2017-06-01"	"06/30/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.013	"2017-07-01"	"07/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.014	"2017-08-01"	"08/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.014	"2017-09-01"	"09/30/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.013	"2017-10-01"	"10/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.008	"2017-11-01"	"11/30/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.007	"2017-12-01"	"12/31/2017"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.0076	"2018-01-01"	"01/31/2018"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.007	"2018-02-01"	"02/28/2018"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.01	"2018-03-01"	"03/31/2018"	1
"echo_VA0063606001"	"dmr_mon_mgd"	0.008	"2018-04-01"	"04/30/2018"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-04-01"	"04/30/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-05-01"	"05/31/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-06-01"	"06/30/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-07-01"	"07/31/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-08-01"	"08/31/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-09-01"	"09/30/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-10-01"	"10/31/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-11-01"	"11/30/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2016-12-01"	"12/31/2016"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-01-01"	"01/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-02-01"	"02/28/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-03-01"	"03/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-04-01"	"04/30/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-05-01"	"05/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-06-01"	"06/30/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-07-01"	"07/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-08-01"	"08/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-09-01"	"09/30/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-10-01"	"10/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-11-01"	"11/30/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2017-12-01"	"12/31/2017"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2018-01-01"	"01/31/2018"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2018-02-01"	"02/28/2018"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2018-03-01"	"03/31/2018"	1
"echo_VA0091529001"	"dmr_mon_mgd"	0	"2018-04-01"	"04/30/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2016-07-01"	"07/31/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.33	"2016-08-01"	"08/31/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.25	"2016-09-01"	"09/30/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2016-10-01"	"10/31/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.08	"2016-11-01"	"11/30/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.219	"2016-12-01"	"12/31/2016"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.116	"2017-01-01"	"01/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2017-02-01"	"02/28/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.247	"2017-03-01"	"03/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.168	"2017-04-01"	"04/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.027	"2017-05-01"	"05/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.168	"2017-06-01"	"06/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.041	"2017-07-01"	"07/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.116	"2017-08-01"	"08/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.08	"2017-09-01"	"09/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2017-10-01"	"10/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2017-11-01"	"11/30/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0	"2017-12-01"	"12/31/2017"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.04	"2018-01-01"	"01/31/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.33	"2018-02-01"	"02/28/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.08	"2018-03-01"	"03/31/2018"	1
"echo_VA0002194001"	"dmr_mon_mgd"	0.027	"2018-04-01"	"04/30/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2016-07-01"	"07/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.41	"2016-08-01"	"08/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"2016-09-01"	"09/30/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2016-10-01"	"10/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"2016-11-01"	"11/30/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"2016-12-01"	"12/31/2016"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.41	"2017-01-01"	"01/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2017-02-01"	"02/28/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2017-03-01"	"03/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"2017-04-01"	"04/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.02	"2017-05-01"	"05/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.02	"2017-06-01"	"06/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.66	"2017-07-01"	"07/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	1.84	"2017-08-01"	"08/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"2017-09-01"	"09/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2017-10-01"	"10/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2017-11-01"	"11/30/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0	"2017-12-01"	"12/31/2017"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"2018-01-01"	"01/31/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.36	"2018-02-01"	"02/28/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"2018-03-01"	"03/31/2018"	1
"echo_VA0002194003"	"dmr_mon_mgd"	0.13	"2018-04-01"	"04/30/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-05-01"	"05/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-06-01"	"06/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-07-01"	"07/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-08-01"	"08/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-09-01"	"09/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-10-01"	"10/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-11-01"	"11/30/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2016-12-01"	"12/31/2016"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-01-01"	"01/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-02-01"	"02/28/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-03-01"	"03/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-04-01"	"04/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-05-01"	"05/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-06-01"	"06/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-07-01"	"07/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-08-01"	"08/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-09-01"	"09/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-10-01"	"10/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-11-01"	"11/30/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2017-12-01"	"12/31/2017"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2018-01-01"	"01/31/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2018-02-01"	"02/28/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2018-03-01"	"03/31/2018"	1
"echo_VA0006254001"	"dmr_mon_mgd"	0	"2018-04-01"	"04/30/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.79	"2011-01-01"	"01/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.82	"2011-02-01"	"02/28/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.06	"2011-03-01"	"03/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	48.47	"2011-04-01"	"04/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	59.71	"2011-05-01"	"05/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.65	"2011-06-01"	"06/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70	"2011-07-01"	"07/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.21	"2011-08-01"	"08/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	65.69	"2011-09-01"	"09/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.32	"2011-10-01"	"10/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.14	"2011-11-01"	"11/30/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	56.48	"2011-12-01"	"12/31/2011"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.18	"2012-01-01"	"01/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.18	"2012-02-01"	"02/29/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.21	"2012-03-01"	"03/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	62.64	"2012-04-01"	"04/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.8	"2012-05-01"	"05/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.29	"2012-06-01"	"06/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.27	"2012-07-01"	"07/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.14	"2012-08-01"	"08/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.14	"2012-09-01"	"09/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.24	"2012-10-01"	"10/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.43	"2012-11-01"	"11/30/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	35.76	"2012-12-01"	"12/31/2012"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.28	"2013-01-01"	"01/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.46	"2013-02-01"	"02/28/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.21	"2013-03-01"	"03/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.86	"2013-04-01"	"04/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	61.73	"2013-05-01"	"05/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.1	"2013-06-01"	"06/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	72.91	"2013-07-01"	"07/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	72.01	"2013-08-01"	"08/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.61	"2013-09-01"	"09/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	68.69	"2013-10-01"	"10/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.09	"2013-11-01"	"11/30/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.62	"2013-12-01"	"12/31/2013"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.43	"2014-01-01"	"01/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.76	"2014-02-01"	"02/28/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.11	"2014-03-01"	"03/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.96	"2014-04-01"	"04/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.8	"2014-05-01"	"05/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	64.72	"2014-06-01"	"06/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	69.31	"2014-07-01"	"07/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.08	"2014-08-01"	"08/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.59	"2014-09-01"	"09/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	57.2	"2014-10-01"	"10/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.26	"2014-11-01"	"11/30/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	51.96	"2014-12-01"	"12/31/2014"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.77	"2015-01-01"	"01/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	46.2	"2015-02-01"	"02/28/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	37.05	"2015-03-01"	"03/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.44	"2015-04-01"	"04/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	63.27	"2015-05-01"	"05/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.31	"2015-06-01"	"06/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.36	"2015-07-01"	"07/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.42	"2015-08-01"	"08/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	56	"2015-09-01"	"09/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.88	"2015-10-01"	"10/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	54.09	"2015-11-01"	"11/30/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.69	"2015-12-01"	"12/31/2015"	1
"echo_VA0005291001"	"dmr_mon_mgd"	42.33	"2016-01-01"	"01/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	43.22	"2016-02-01"	"02/29/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	42.8	"2016-03-01"	"03/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	45.07	"2016-04-01"	"04/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	48.65	"2016-05-01"	"05/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	67.21	"2016-06-01"	"06/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	66.92	"2016-07-01"	"07/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.48	"2016-08-01"	"08/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	70.16	"2016-09-01"	"09/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	44.88	"2016-10-01"	"10/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	43.94	"2016-11-01"	"11/30/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	47.78	"2016-12-01"	"12/31/2016"	1
"echo_VA0005291001"	"dmr_mon_mgd"	50	"2017-01-01"	"01/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.76	"2017-02-01"	"02/28/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.72	"2017-03-01"	"03/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	59.91	"2017-04-01"	"04/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	65.97	"2017-05-01"	"05/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	71.66	"2017-06-01"	"06/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	73.54	"2017-07-01"	"07/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	74.91	"2017-08-01"	"08/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	68.96	"2017-09-01"	"09/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.72	"2017-10-01"	"10/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	60.26	"2017-11-01"	"11/30/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	53.7	"2017-12-01"	"12/31/2017"	1
"echo_VA0005291001"	"dmr_mon_mgd"	41.75	"2018-01-01"	"01/31/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.5	"2018-02-01"	"02/28/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	52.36	"2018-03-01"	"03/31/2018"	1
"echo_VA0005291001"	"dmr_mon_mgd"	58.47	"2018-04-01"	"04/30/2018"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.07	"2011-01-01"	"01/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	35.29	"2011-02-01"	"02/28/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.13	"2011-03-01"	"03/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.99	"2011-04-01"	"04/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.42	"2011-05-01"	"05/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.65	"2011-06-01"	"06/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.28	"2011-07-01"	"07/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.56	"2011-08-01"	"08/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.22	"2011-09-01"	"09/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.1	"2011-10-01"	"10/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.89	"2011-11-01"	"11/30/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38	"2011-12-01"	"12/31/2011"	1
"echo_VA0005291002"	"dmr_mon_mgd"	37.98	"2012-01-01"	"01/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.76	"2012-02-01"	"02/29/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.09	"2012-03-01"	"03/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.13	"2012-04-01"	"04/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	41.3	"2012-05-01"	"05/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.83	"2012-06-01"	"06/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.11	"2012-07-01"	"07/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.42	"2012-08-01"	"08/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.89	"2012-09-01"	"09/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.68	"2012-10-01"	"10/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.72	"2012-11-01"	"11/30/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	20.14	"2012-12-01"	"12/31/2012"	1
"echo_VA0005291002"	"dmr_mon_mgd"	28.6	"2013-01-01"	"01/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.58	"2013-02-01"	"02/28/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	26.31	"2013-03-01"	"03/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.71	"2013-04-01"	"04/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.41	"2013-05-01"	"05/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.21	"2013-06-01"	"06/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.45	"2013-07-01"	"07/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.03	"2013-08-01"	"08/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.7	"2013-09-01"	"09/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	41.31	"2013-10-01"	"10/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.78	"2013-11-01"	"11/30/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.07	"2013-12-01"	"12/31/2013"	1
"echo_VA0005291002"	"dmr_mon_mgd"	29.35	"2014-01-01"	"01/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.18	"2014-02-01"	"02/28/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.9	"2014-03-01"	"03/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	36.79	"2014-04-01"	"04/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.14	"2014-05-01"	"05/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.84	"2014-06-01"	"06/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	45.63	"2014-07-01"	"07/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	46.23	"2014-08-01"	"08/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.82	"2014-09-01"	"09/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.17	"2014-10-01"	"10/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.49	"2014-11-01"	"11/30/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	32.82	"2014-12-01"	"12/31/2014"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.37	"2015-01-01"	"01/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.35	"2015-02-01"	"02/28/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.47	"2015-03-01"	"03/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.08	"2015-04-01"	"04/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	38.52	"2015-05-01"	"05/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	44.01	"2015-06-01"	"06/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	46.3	"2015-07-01"	"07/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	42.82	"2015-08-01"	"08/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.18	"2015-09-01"	"09/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	37.43	"2015-10-01"	"10/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	39.6	"2015-11-01"	"11/30/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.15	"2015-12-01"	"12/31/2015"	1
"echo_VA0005291002"	"dmr_mon_mgd"	35.69	"2016-01-01"	"01/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	31.71	"2016-02-01"	"02/29/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	33.71	"2016-03-01"	"03/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	34.49	"2016-04-01"	"04/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	32.02	"2016-05-01"	"05/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.63	"2016-06-01"	"06/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	40.04	"2016-07-01"	"07/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	43.03	"2016-08-01"	"08/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	41.2	"2016-09-01"	"09/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	29.59	"2016-10-01"	"10/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	20.74	"2016-11-01"	"11/30/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	25.65	"2016-12-01"	"12/31/2016"	1
"echo_VA0005291002"	"dmr_mon_mgd"	29.99	"2017-01-01"	"01/31/2017"	1
"echo_VA0005291002"	"dmr_mon_mgd"	30.7	"2017-02-01"	"02/28/2017"	1
