"bundle","name","ftype","hydocode","fstatus","wkt_geom","dh_link_facility_mps"
"transfer","TO VA0001872102","release","vahydro_VA0001872102","active","POINT (38.84781 -77.27795)","echo_VA0001872"
"transfer","TO VA0001945001","release","vahydro_VA0001945001","active","POINT (38.734374 -77.191284)","echo_VA0001945"
"transfer","TO VA0001945901","release","vahydro_VA0001945901","active","POINT (38.734374 -77.191284)","echo_VA0001945"
"transfer","TO VA0001961001","release","vahydro_VA0001961001","active","POINT (38.587847 -78.59135)","echo_VA0001961"
"transfer","TO VA0001988001","release","vahydro_VA0001988001","active","POINT (38.73367 -77.1909)","echo_VA0001988"
"transfer","TO VA0002071001","release","vahydro_VA0002071001","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071002","release","vahydro_VA0002071002","inactive","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071003","release","vahydro_VA0002071003","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071004","release","vahydro_VA0002071004","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071005","release","vahydro_VA0002071005","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071007","release","vahydro_VA0002071007","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071008","release","vahydro_VA0002071008","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071009","release","vahydro_VA0002071009","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071010","release","vahydro_VA0002071010","inactive","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071201","release","vahydro_VA0002071201","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071202","release","vahydro_VA0002071202","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071501","release","vahydro_VA0002071501","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071502","release","vahydro_VA0002071502","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002071503","release","vahydro_VA0002071503","active","POINT (38.5391 -77.2786)","echo_VA0002071"
"transfer","TO VA0002151003","release","vahydro_VA0002151003","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151009","release","vahydro_VA0002151009","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151016","release","vahydro_VA0002151016","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151035","release","vahydro_VA0002151035","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151072","release","vahydro_VA0002151072","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151073","release","vahydro_VA0002151073","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151074","release","vahydro_VA0002151074","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151086","release","vahydro_VA0002151086","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151090","release","vahydro_VA0002151090","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002151091","release","vahydro_VA0002151091","active","POINT (38.518351 -77.298272)","echo_VA0002151"
"transfer","TO VA0002160001","release","vahydro_VA0002160001","active","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160003","release","vahydro_VA0002160003","active","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160011","release","vahydro_VA0002160011","active","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160013","release","vahydro_VA0002160013","active","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160101","release","vahydro_VA0002160101","active","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160901","release","vahydro_VA0002160901","inactive","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160911","release","vahydro_VA0002160911","inactive","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002160913","release","vahydro_VA0002160913","inactive","POINT (38.061111 -78.883333)","echo_VA0002160"
"transfer","TO VA0002178001","release","vahydro_VA0002178001","active","POINT (38.38433 -78.65199)","echo_VA0002178"
"transfer","TO VA0002178101","release","vahydro_VA0002178101","active","POINT (38.38433 -78.65199)","echo_VA0002178"
"transfer","TO VA0002178102","release","vahydro_VA0002178102","active","POINT (38.38433 -78.65199)","echo_VA0002178"
"transfer","TO VA0002194001","release","vahydro_VA0002194001","active","POINT (38.191062 -78.990422)","echo_VA0002194"
"transfer","TO VA0002194003","release","vahydro_VA0002194003","active","POINT (38.191062 -78.990422)","echo_VA0002194"
"transfer","TO VA0002283001","release","vahydro_VA0002283001","active","POINT (38.84724 -77.27281)","echo_VA0002283"
"transfer","TO VA0002283002","release","vahydro_VA0002283002","active","POINT (38.84724 -77.27281)","echo_VA0002283"
"transfer","TO VA0002313001","release","vahydro_VA0002313001","active","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002313002","release","vahydro_VA0002313002","inactive","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002313008","release","vahydro_VA0002313008","active","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002313009","release","vahydro_VA0002313009","inactive","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002313101","release","vahydro_VA0002313101","active","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002313102","release","vahydro_VA0002313102","active","POINT (38.4684 -78.976586)","echo_VA0002313"
"transfer","TO VA0002402001","release","vahydro_VA0002402001","active","POINT (38.089784 -78.871999)","echo_VA0002402"
